MAIN-FILE-ID,HULFT-ID,SEND-CLASS,SEND-DETAIL-FILE,PLANTCD,CODE-CONVERT,IN-REC-TYPE,IN-REC-LENGTH,OUT-REC-TYPE,OUT-REC-LENGTH,NEW-LINE-TYPE,SHIFTTRANSACT,SSFDEL,CMDERRMD,RETRY,INTERVAL,ZERO-CHK
HS0611,N8R5EP15,HULFT,/CDTHULFT.EP.FTPLIB18/H1R5EP15,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0612,N8R5EP16,HULFT,/CDTHULFT.EP.FTPLIB19/H1R5EP16,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0613,N8R5EP17,HULFT,/CDTHULFT.EP.FTPLIB20/H1R5EP17,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0614,N8R5EP18,HULFT,/CDTHULFT.EP.FTPLIB21/H1R5EP18,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0615,N8R5EP19,HULFT,/CDTHULFT.EP.FTPLIB22/H1R5EP19,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0616,N8R5EP20,HULFT,/CDTHULFT.EP.FTPLIB23/H1R5EP20,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0617,N8R5EP21,HULFT,/CDTHULFT.EP.FTPLIB24/H1R5EP21,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0618,N8R5ET01,HULFT,/CDTHULFT.ET.FTPLIB02/H1R5ET01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0619,N8R5ET02,HULFT,/CDTHULFT.ET.FTPLIB03/H1R5ET02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0620,N8R5ET03,HULFT,/CDTHULFT.ET.FTPLIB04/H1R5ET03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0621,N8R5ET04,HULFT,/CDTHULFT.ET.FTPLIB05/H1R5ET04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0622,N8R5ET05,HULFT,/CDTHULFT.ET.FTPLIB06/H1R5ET05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0623,N8R5ET06,HULFT,/CDTHULFT.ET.FTPLIB07/H1R5ET06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0624,N8R5ET07,HULFT,/CDTHULFT.ET.FTPLIB08/H1R5ET07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0625,N8R5ET08,HULFT,/CDTHULFT.ET.FTPLIB09/H1R5ET08,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0626,N8R5ET09,HULFT,/CDTHULFT.ET.FTPLIB10/H1R5ET09,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0627,N8R5ET10,HULFT,/CDTHULFT.ET.FTPLIB11/H1R5ET10,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0628,N8R5EZ01,HULFT,/CDTHULFT.EZ.FTPLIB01/H1R5EZ01,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0629,N8R5EZ02,HULFT,/CDTHULFT.EZ.FTPLIB02/H1R5EZ02,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0630,N8R5EZ03,HULFT,/CDTHULFT.EZ.FTPLIB03/H1R5EZ03,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0631,N8R5EZ04,HULFT,/CDTHULFT.EZ.FTPLIB04/H1R5EZ04,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0632,N8R5EZ05,HULFT,/CDTHULFT.EZ.FTPLIB05/H1R5EZ05,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0633,N8R5EZ06,HULFT,/CDTHULFT.EZ.FTPLIB06/H1R5EZ06,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0634,N8R5EZ07,HULFT,/CDTHULFT.EZ.FTPLIB07/H1R5EZ07,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0635,N8R5EZ08,HULFT,/CDTHULFT.EZ.FTPLIB08/H1R5EZ08,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0636,N8R5EZ09,HULFT,/CDTHULFT.EZ.FTPLIB09/H1R5EZ09,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0643,N8R5EZ16,HULFT,/CDTHULFT.EZ.FTPLIB16/H1R5EZ16,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0644,N8R5EZ17,HULFT,/CDTHULFT.EZ.FTPLIB17/H1R5EZ17,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0645,N8R5EZ18,HULFT,/CDTHULFT.EZ.FTPLIB18/H1R5EZ18,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0646,N8R5EZ19,HULFT,/CDTHULFT.EZ.FTPLIB19/H1R5EZ19,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0647,N8R5EZ20,HULFT,/CDTHULFT.EZ.FTPLIB20/H1R5EZ20,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0648,N8R5EZ21,HULFT,/CDTHULFT.EZ.FTPLIB21/H1R5EZ21,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0649,N8R5EZ22,HULFT,/CDTHULFT.EZ.FTPLIB22/H1R5EZ22,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0650,N8R5EZ23,HULFT,/CDTHULFT.EZ.FTPLIB23/H1R5EZ23,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0651,N8R5EZ24,HULFT,/CDTHULFT.EZ.FTPLIB24/H1R5EZ24,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0652,N8R5EZ25,HULFT,/CDTHULFT.EZ.FTPLIB25/H1R5EZ25,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0653,N8R5EZ26,HULFT,/CDTHULFT.EZ.FTPLIB26/H1R5EZ26,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0654,N8R5EZ27,HULFT,/CDTHULFT.EZ.FTPLIB27/H1R5EZ27,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0655,N8R5EZ28,HULFT,/CDTHULFT.EZ.FTPLIB28/H1R5EZ28,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0656,N8R5EZ29,HULFT,/CDTHULFT.EZ.FTPLIB29/H1R5EZ29,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0657,N8R5EZ30,HULFT,/CDTHULFT.EZ.FTPLIB30/H1R5EZ30,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0658,N8R5EZ31,HULFT,/CDTHULFT.EZ.FTPLIB31/H1R5EZ31,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0659,N8R5EZ32,HULFT,/CDTHULFT.EZ.FTPLIB32/H1R5EZ32,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0660,N8R5EZ33,HULFT,/CDTHULFT.EZ.FTPLIB33/H1R5EZ33,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0661,N8R5EZ34,HULFT,/CDTHULFT.EZ.FTPLIB34/H1R5EZ34,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0662,N8R5EZ35,HULFT,/CDTHULFT.EZ.FTPLIB35/H1R5EZ35,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0663,N8R5EZ36,HULFT,/CDTHULFT.EZ.FTPLIB36/H1R5EZ36,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0664,N8R5EZ37,HULFT,/CDTHULFT.EZ.FTPLIB37/H1R5EZ37,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0665,N8R5EZ38,HULFT,/CDTHULFT.EZ.FTPLIB38/H1R5EZ38,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0666,N8R5EZ39,HULFT,/CDTHULFT.EZ.FTPLIB39/H1R5EZ39,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0669,N8R5E1B3,HULFT,/CDTHULFT.E1.FTPLIB124/H1R5E1B3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0670,N8R5E1C1,HULFT,/CDTHULFT.E1.FTPLIB132/H1R5E1C1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0671,N8R5E1C2,HULFT,/CDTHULFT.E1.FTPLIB133/H1R5E1C2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0672,N8R5E1C3,HULFT,/CDTHULFT.E1.FTPLIB134/H1R5E1C3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0673,N8R5E1C4,HULFT,/CDTHULFT.E1.FTPLIB135/H1R5E1C4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0674,N8R5E1C5,HULFT,/CDTHULFT.E1.FTPLIB136/H1R5E1C5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0675,N8R5E1C6,HULFT,/CDTHULFT.E1.FTPLIB137/H1R5E1C6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0676,N8R5E1C7,HULFT,/CDTHULFT.E1.FTPLIB138/H1R5E1C7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0677,N8R5E1C8,HULFT,/CDTHULFT.E1.FTPLIB139/H1R5E1C8,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0678,N8R5E1C9,HULFT,/CDTHULFT.E1.FTPLIB140/H1R5E1C9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0679,N8R5E1D0,HULFT,/CDTHULFT.E1.FTPLIB141/H1R5E1D0,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0680,N8R5E1D1,HULFT,/CDTHULFT.E1.FTPLIB142/H1R5E1D1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0681,N8R5E1D2,HULFT,/CDTHULFT.E1.FTPLIB143/H1R5E1D2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0682,N8R5E1D9,HULFT,/CDTHULFT.E1.FTPLIB150/H1R5E1D9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0683,N8R5E1E0,HULFT,/CDTHULFT.E1.FTPLIB151/H1R5E1E0,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0684,N8R5E1E1,HULFT,/CDTHULFT.E1.FTPLIB152/H1R5E1E1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0685,N8R5E1E2,HULFT,/CDTHULFT.E1.FTPLIB153/H1R5E1E2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0686,N8R5E1E3,HULFT,/CDTHULFT.E1.FTPLIB154/H1R5E1E3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0687,N8R5E1E4,HULFT,/CDTHULFT.E1.FTPLIB155/H1R5E1E4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0688,N8R5E1E5,HULFT,/CDTHULFT.E1.FTPLIB156/H1R5E1E5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0689,N8R5E1E6,HULFT,/CDTHULFT.E1.FTPLIB157/H1R5E1E6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0690,N8R5E1E7,HULFT,/CDTHULFT.E1.FTPLIB158/H1R5E1E7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0691,N8R5E1E8,HULFT,/CDTHULFT.E1.FTPLIB159/H1R5E1E8,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0692,N8R5E1E9,HULFT,/CDTHULFT.E1.FTPLIB160/H1R5E1E9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0697,N8R5E1F4,HULFT,/CDTHULFT.E1.FTPLIB165/H1R5E1F4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0698,N8R5E1F5,HULFT,/CDTHULFT.E1.FTPLIB166/H1R5E1F5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0699,N8R5E1F6,HULFT,/CDTHULFT.E1.FTPLIB167/H1R5E1F6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0700,N8R5E1F7,HULFT,/CDTHULFT.E1.FTPLIB168/H1R5E1F7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0701,N8R5E1F8,HULFT,/CDTHULFT.E1.FTPLIB169/H1R5E1F8,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0702,N8R5E1F9,HULFT,/CDTHULFT.E1.FTPLIB170/H1R5E1F9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0703,N8R5E1G0,HULFT,/CDTHULFT.E1.FTPLIB171/H1R5E1G0,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0704,N8R5E1G1,HULFT,/CDTHULFT.E1.FTPLIB172/H1R5E1G1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0705,N8R5E1G2,HULFT,/CDTHULFT.E1.FTPLIB173/H1R5E1G2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0706,N8R5E1G3,HULFT,/CDTHULFT.E1.FTPLIB174/H1R5E1G3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0707,N8R5E1G4,HULFT,/CDTHULFT.E1.FTPLIB175/H1R5E1G4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0708,N8R5E1G5,HULFT,/CDTHULFT.E1.FTPLIB176/H1R5E1G5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0709,N8R5E1G6,HULFT,/CDTHULFT.E1.FTPLIB177/H1R5E1G6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0710,N8R5E1G7,HULFT,/CDTHULFT.E1.FTPLIB178/H1R5E1G7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0711,N8R5E1G8,HULFT,/CDTHULFT.E1.FTPLIB179/H1R5E1G8,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0712,N8R5E1G9,HULFT,/CDTHULFT.E1.FTPLIB180/H1R5E1G9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0713,N8R5E1H0,HULFT,/CDTHULFT.E1.FTPLIB181/H1R5E1H0,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0714,N8R5E1H1,HULFT,/CDTHULFT.E1.FTPLIB182/H1R5E1H1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0715,N8R5E1H2,HULFT,/CDTHULFT.E1.FTPLIB183/H1R5E1H2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0716,N8R5E1H3,HULFT,/CDTHULFT.E1.FTPLIB184/H1R5E1H3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0717,N8R5E1H4,HULFT,/CDTHULFT.E1.FTPLIB185/H1R5E1H4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0718,N8R5E1H5,HULFT,/CDTHULFT.E1.FTPLIB186/H1R5E1H5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0719,N8R5E1H6,HULFT,/CDTHULFT.E1.FTPLIB187/H1R5E1H6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0720,N8R5E1H7,HULFT,/CDTHULFT.E1.FTPLIB188/H1R5E1H7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0721,N8R5E1H8,HULFT,/CDTHULFT.E1.FTPLIB189/H1R5E1H8,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0722,N8R5E1H9,HULFT,/CDTHULFT.E1.FTPLIB190/H1R5E1H9,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0723,N8R5E1I0,HULFT,/CDTHULFT.E1.FTPLIB191/H1R5E1I0,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0724,N8R5E1I1,HULFT,/CDTHULFT.E1.FTPLIB192/H1R5E1I1,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0725,N8R5E1I2,HULFT,/CDTHULFT.E1.FTPLIB193/H1R5E1I2,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0726,N8R5E1I3,HULFT,/CDTHULFT.E1.FTPLIB194/H1R5E1I3,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0727,N8R5E1I4,HULFT,/CDTHULFT.E1.FTPLIB195/H1R5E1I4,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0728,N8R5E1I5,HULFT,/CDTHULFT.E1.FTPLIB196/H1R5E1I5,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0729,N8R5E1I6,HULFT,/CDTHULFT.E1.FTPLIB197/H1R5E1I6,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0730,N8R5E1I7,HULFT,/CDTHULFT.E1.FTPLIB198/H1R5E1I7,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0777,N8R5E195,HULFT,/CDTHULFT.E1.FTPLIB106/H1R5E195,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0778,N8R5E196,HULFT,/CDTHULFT.E1.FTPLIB107/H1R5E196,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0779,N8R5E197,HULFT,/CDTHULFT.E1.FTPLIB108/H1R5E197,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
HS0780,N8R5E198,HULFT,/CDTHULFT.E1.FTPLIB109/H1R5E198,R5,,VB,32000,FB,32000,LF,CUT,,END,1,60,YES
